benchmark,task,threshold,selected_count,selection_coverage,selected_pseudo_label_accuracy,classes_with_selected_samples,target_labels_used_only_for_posthoc_diagnostics,accuracy,balanced_accuracy
officehome,A2P,0.6,3924,0.8839828790268078,93.55249745158002,64,True,87.99279116918225,87.35109388144531
officehome,A2P,0.7,3704,0.8344221671547646,95.38336933045356,64,True,87.99279116918225,87.35002550537693
officehome,A2P,0.8,3471,0.7819328677630096,96.83088447133392,64,True,87.97026357287677,87.33344844444504
officehome,A2P,0.9,3050,0.6870916873169632,98.1311475409836,64,True,87.90268078396035,87.28216639316298
officehome,A2R,0.5,4013,0.9210465916915309,92.97283827560429,65,True,88.75372963047968,86.89730343264053
officehome,A2R,0.6,3819,0.8765205416571035,94.37025399319194,65,True,88.75372963047968,86.89730343264053
officehome,A2R,0.7,3604,0.8271746614643103,96.05993340732519,64,True,88.73077805829699,86.78719280747971
officehome,A2R,0.8,3338,0.7661234794583429,97.21390053924506,64,True,88.7078264861143,86.76315434594126
officehome,A2R,0.9,2936,0.6738581592839109,98.6716621253406,64,True,88.7078264861143,86.76423069496538
officehome,C2A,0.5,1970,0.8117016893283889,89.28934010152284,65,True,79.72805933250928,75.51952556843871
officehome,C2A,0.6,1800,0.7416563658838071,92.38888888888889,64,True,79.6456530696333,75.37849992741306
officehome,C2A,0.7,1650,0.6798516687268232,94.18181818181817,64,True,79.68685620107128,75.42198968938507
officehome,C2A,0.8,1459,0.6011536876802637,96.64153529814942,64,True,79.56324680675732,75.15361078147129
officehome,C2A,0.9,1189,0.4899052327976926,98.23380992430614,63,True,79.52204367531932,75.17631457340585
officehome,C2P,0.5,4098,0.9231808965983329,92.0448999511957,65,True,87.8576255913494,87.14289907381743
officehome,C2P,0.6,3887,0.8756476683937824,93.92847954720864,65,True,87.92520838026583,87.23269456847123
officehome,C2P,0.7,3683,0.829691371930615,95.62856367092044,64,True,87.92520838026583,87.24540412484718
officehome,C2P,0.8,3457,0.7787790042802433,96.99161122360428,64,True,87.90268078396035,87.23288456303186
officehome,C2P,0.9,3005,0.6769542689794998,98.369384359401,64,True,87.76751520612751,87.10076060502067
officehome,C2R,0.5,3997,0.9173743401422998,92.84463347510633,65,True,88.98324535230662,87.14658022970896
officehome,C2R,0.6,3779,0.8673399127840257,94.57528446679015,65,True,88.96029378012393,87.11958967640261
officehome,C2R,0.7,3565,0.8182235483130594,96.10098176718093,65,True,88.96029378012393,87.12254176817049
officehome,C2R,0.8,3295,0.7562543034197843,97.17754172989378,64,True,88.96029378012393,87.02405472895079
officehome,C2R,0.9,2869,0.6584806059215056,98.88462879051934,64,True,88.89143906357585,86.95323721192499
officehome,P2A,0.5,1983,0.8170580964153276,88.55269793242562,65,True,78.86279357231149,74.7336666252801
officehome,P2A,0.6,1822,0.7507210548001648,91.65751920965971,64,True,78.8215904408735,74.65674354835701
officehome,P2A,0.7,1679,0.6918005768438401,93.5080405002978,64,True,78.90399670374948,74.76383253779893
officehome,P2A,0.8,1493,0.61516275236918,95.84728734092431,64,True,78.90399670374948,74.76383253779893
officehome,P2A,0.9,1235,0.5088586732591677,97.89473684210527,63,True,78.49196538936958,74.32007268866825
officehome,P2C,0.5,3049,0.6985108820160366,83.20760905214824,65,True,67.90378006872852,67.13047180116197
officehome,P2C,0.6,2700,0.6185567010309279,87.62962962962963,65,True,67.92668957617411,67.14601181670199
officehome,P2C,0.7,2358,0.5402061855670103,91.22137404580153,65,True,67.90378006872852,67.10755027824045
officehome,P2C,0.8,1995,0.4570446735395189,93.93483709273183,65,True,67.83505154639175,67.0328695926333
officehome,P2C,0.9,1641,0.3759450171821306,96.3436928702011,64,True,67.4914089347079,66.76223557785546
officehome,P2R,0.5,4050,0.9295386733991279,92.8395061728395,65,True,89.21276107413357,87.43270098972172
officehome,P2R,0.6,3858,0.8854716548083543,94.34940383618455,65,True,89.21276107413357,87.43270098972172
officehome,P2R,0.7,3664,0.840945604773927,95.63318777292577,65,True,89.18980950195088,87.3658113576147
officehome,P2R,0.8,3394,0.7789763598806518,97.0241602828521,65,True,89.0980032132201,87.27346987905527
officehome,P2R,0.9,2987,0.6855634610970851,98.52695011717442,64,True,89.1209547854028,87.25428734753997
officehome,R2A,0.5,2007,0.826946847960445,88.68958644743398,65,True,79.48084054388134,75.32939014748388
officehome,R2A,0.6,1842,0.7589616810877626,91.42236699239956,65,True,79.43963741244335,75.27021854985074
officehome,R2A,0.7,1686,0.6946847960444994,93.8908659549229,64,True,79.48084054388134,75.28909710719086
officehome,R2A,0.8,1515,0.6242274412855378,95.37953795379538,64,True,79.35723114956737,75.16713116104907
officehome,R2A,0.9,1249,0.5146271116604862,97.67814251401121,64,True,79.39843428100536,75.19182868574659
officehome,R2C,0.5,3054,0.6996563573883161,82.84217419777342,65,True,67.05612829324168,66.44858888516117
officehome,R2C,0.6,2696,0.6176403207331043,86.94362017804154,65,True,67.0332187857961,66.41012734669962
officehome,R2C,0.7,2373,0.5436426116838488,90.68689422671724,65,True,67.0103092783505,66.36983430640659
officehome,R2C,0.8,2036,0.4664375715922108,93.66404715127702,65,True,66.94158075601374,66.32542781936448
officehome,R2C,0.9,1642,0.3761741122565865,95.67600487210719,64,True,66.7812142038946,66.26140020104859
officehome,R2P,0.5,4163,0.9378238341968912,91.44847465769878,65,True,88.24059472854246,87.56817967763651
officehome,R2P,0.6,3953,0.8905158819553953,93.47331140905641,65,True,88.24059472854246,87.54626073636273
officehome,R2P,0.7,3744,0.8434332056769542,95.2991452991453,64,True,88.28564992115341,87.62384824125252
officehome,R2P,0.8,3527,0.7945483216940752,96.76779132407145,64,True,88.30817751745889,87.65962641656559
officehome,R2P,0.9,3132,0.7055643162874521,98.37164750957854,64,True,88.21806713223698,87.55912218547822
