benchmark,task,method,source_weight_mean,target_weight_mean,target_labels_used_for_weight_selection,accuracy,balanced_accuracy,mean_reliability,selection_objective
office31,D2W,class_adaptive,0.1322360634803772,0.06710558384656906,False,63.0188679245283,64.67895895066822,0.6710556745529175,
office31,D2W,label_free_entropy_selected,0.3333333333333333,0.3333333333333333,False,89.55974842767296,88.67605789633942,,0.15994246639311313
office31,W2A,fixed_asymmetric,0.1,0.025,False,81.2566560170394,80.87576652882686,,
office31,W2A,uniform,0.3333333333333333,0.3333333333333333,False,82.17962371317003,81.74909760934642,,
office31,W2A,uncertainty_scaled_target,0.1,0.02121950499713421,False,80.58217962371317,80.13577912327834,0.8487802743911743,
office31,W2A,class_adaptive,0.08780493587255478,0.08487801998853683,False,82.32161874334398,81.99386047796493,0.8487802743911743,
office31,W2A,label_free_entropy_selected,0.2,0.3333333333333333,False,82.8186013489528,82.46719593270964,,0.23675257712602615
office31,W2D,fixed_asymmetric,0.1,0.025,False,86.34538152610442,86.88088384266506,,
office31,W2D,uniform,0.3333333333333333,0.3333333333333333,False,91.56626506024097,91.76759775988387,,
office31,W2D,uncertainty_scaled_target,0.1,0.015498786233365536,False,85.7429718875502,86.03750678961056,0.6199513673782349,
office31,W2D,class_adaptive,0.14501215517520905,0.06199514493346214,False,66.86746987951807,71.91911761947503,0.6199513673782349,
office31,W2D,label_free_entropy_selected,0.3333333333333333,0.3333333333333333,False,91.56626506024097,91.76759775988387,,0.12130531035363674
officehome,A2C,fixed_asymmetric,0.1,0.025,False,66.68957617411225,66.46487720183573,,
officehome,A2C,uniform,0.3333333333333333,0.3333333333333333,False,64.03207331042383,64.34282080955613,,
officehome,A2C,uncertainty_scaled_target,0.1,0.017937302589416504,False,65.36082474226804,64.8767220207345,0.7174920439720154,
officehome,A2C,class_adaptive,0.12062698602676392,0.07174921035766602,False,52.69186712485682,54.67025491298115,0.7174920439720154,
officehome,A2C,label_free_entropy_selected,0.3333333333333333,0.3333333333333333,False,64.03207331042383,64.34282080955613,,0.6850647419691086
officehome,A2P,fixed_asymmetric,0.1,0.025,False,87.99279116918225,87.35002550537693,,
officehome,A2P,uniform,0.3333333333333333,0.3333333333333333,False,88.17301193962605,87.48923051460096,,
officehome,A2P,uncertainty_scaled_target,0.1,0.020797131583094597,False,87.54223924307276,86.89087664612332,0.8318852186203003,
officehome,A2P,class_adaptive,0.09202868491411209,0.08318852633237839,False,84.68123451227754,83.4635999646747,0.8318852186203003,
officehome,A2P,label_free_entropy_selected,0.1,0.3333333333333333,False,89.61477810317639,89.11805106093924,,0.17815447337925433
officehome,A2R,fixed_asymmetric,0.1,0.025,False,88.73077805829699,86.78719280747971,,
officehome,A2R,uniform,0.3333333333333333,0.3333333333333333,False,87.0323617167776,85.17108297133359,,
officehome,A2R,uncertainty_scaled_target,0.1,0.020722031593322754,False,88.34060133119118,86.25828524069924,0.8288812041282654,
officehome,A2R,class_adaptive,0.09277969598770142,0.08288812637329102,False,79.15997245811339,77.94654789184283,0.8288812041282654,
officehome,A2R,label_free_entropy_selected,0.1,0.3333333333333333,False,88.82258434702777,86.94777403909588,,0.21042101811617614
officehome,C2A,fixed_asymmetric,0.1,0.025,False,79.68685620107128,75.42198968938507,,
officehome,C2A,uniform,0.3333333333333333,0.3333333333333333,False,78.61557478368356,74.26999243652658,,
officehome,C2A,uncertainty_scaled_target,0.1,0.016807550564408302,False,79.56324680675732,74.97018368074139,0.6723019480705261,
officehome,C2A,class_adaptive,0.13192451000213623,0.06723020225763321,False,67.32591676967449,66.19830859361862,0.6723019480705261,
officehome,C2A,label_free_entropy_selected,0.2,0.3333333333333333,False,79.19241862381541,74.81093908885353,,0.3876918703317642
officehome,C2P,fixed_asymmetric,0.1,0.025,False,87.92520838026583,87.24540412484718,,
officehome,C2P,uniform,0.3333333333333333,0.3333333333333333,False,89.27686415859428,88.73372261697851,,
officehome,C2P,uncertainty_scaled_target,0.1,0.020653676241636276,False,87.31696328001803,86.63824908254063,0.8261470794677734,
officehome,C2P,class_adaptive,0.093463234603405,0.0826147049665451,False,77.94548321694074,76.44153274334147,0.8261470794677734,
officehome,C2P,label_free_entropy_selected,0.1,0.3333333333333333,False,89.5246677179545,88.91447813412367,,0.18060772716999055
officehome,C2R,fixed_asymmetric,0.1,0.025,False,88.96029378012393,87.12254176817049,,
officehome,C2R,uniform,0.3333333333333333,0.3333333333333333,False,88.11108560936424,86.4570164169457,,
officehome,C2R,uncertainty_scaled_target,0.1,0.020653733983635902,False,88.34060133119118,86.280188931709,0.8261493444442749,
officehome,C2R,class_adaptive,0.09346266090869904,0.08261493593454361,False,85.24213908652743,84.22355883829589,0.8261493444442749,
officehome,C2R,label_free_entropy_selected,0.1,0.3333333333333333,False,88.96029378012393,87.20081424779255,,0.2138214448466897
officehome,P2A,fixed_asymmetric,0.1,0.025,False,78.90399670374948,74.76383253779893,,
officehome,P2A,uniform,0.3333333333333333,0.3333333333333333,False,76.63782447466008,71.9723049029142,,
