benchmark,task,comparator,samples,comparator_accuracy,satpa_accuracy,gain_pp,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_probability_gain_le_zero,mcnemar_exact_p,discordant_satpa_only_correct,discordant_comparator_only_correct,mcnemar_holm_p,significant_after_holm_0p05
officehome,A2C,t3a,4365,59.01489117983964,66.68957617411225,7.674685120582581,6.4375715255737305,8.934707641601562,0.0,4.376216598215034e-33,568,233,2.6257299589290205e-32,True
officehome,A2P,t3a,4439,86.46091462041,87.99279116918225,1.5318765304982662,0.6533002853393555,2.4329802989959717,0.0006,0.0007172231484669905,231,163,0.001434446296933981,True
officehome,A2R,t3a,4357,81.6157906816617,88.73077805829699,7.114987075328827,6.059215068817139,8.147808074951172,0.0,4.8172409309365215e-40,442,132,4.335516837842869e-39,True
officehome,C2A,t3a,2427,69.6332921302019,79.68685620107128,10.053563863039017,8.44664192199707,11.660486221313477,0.0,1.5047422076569256e-33,337,93,1.0533195453598479e-32,True
officehome,C2P,t3a,4439,86.46091462041,87.92520838026583,1.4642938040196896,0.6082450747489929,2.387925148010254,0.0008,0.0015219768884752905,237,172,0.0015219768884752905,True
officehome,C2R,t3a,4357,81.6157906816617,88.96029378012393,7.344502955675125,6.31168270111084,8.377324104309082,0.0,1.5086267989976087e-43,442,122,1.5086267989976086e-42,True
officehome,P2A,t3a,2427,69.6332921302019,78.90399670374948,9.270704537630081,7.746188163757324,10.836423873901367,0.0,7.024199398898791e-30,318,93,2.8096797595595165e-29,True
officehome,P2C,t3a,4365,59.01489117983964,67.90378006872852,8.888889104127884,7.605956554412842,10.148911476135254,0.0,1.3227508448259846e-44,592,204,1.4550259293085831e-43,True
officehome,P2R,t3a,4357,81.6157906816617,89.18980950195088,7.574018836021423,6.518246173858643,8.606840133666992,0.0,1.6079870602811405e-47,441,111,1.9295844723373686e-46,True
officehome,R2A,t3a,2427,69.6332921302019,79.48084054388134,9.847548604011536,8.199422836303711,11.495674133300781,0.0,1.4225069989974006e-32,332,93,7.112534994987003e-32,True
officehome,R2C,t3a,4365,59.01489117983964,67.0103092783505,7.995418459177017,6.7353949546813965,9.255441665649414,0.0,1.6617835251436048e-35,579,230,1.3294268201148838e-34,True
officehome,R2P,t3a,4439,86.46091462041,88.28564992115341,1.8247352913022041,0.9461590051651001,2.680783987045288,0.0,6.133590581385037e-05,241,160,0.0001840077174415511,True
officehome,A2C,tip_adapter_source,4365,44.58190148911799,66.68957617411225,22.107674181461334,20.687284469604492,23.61970329284668,0.0,3.140271353632928e-182,1116,151,3.140271353632928e-181,True
officehome,A2P,tip_adapter_source,4439,76.2559134940302,87.99279116918225,11.736878007650375,10.61049747467041,12.840729713439941,0.0,7.865209972936122e-103,593,72,4.719125983761673e-102,True
officehome,A2R,tip_adapter_source,4357,71.65480835437228,88.73077805829699,17.07596927881241,15.882487297058105,18.269451141357422,0.0,5.789907985006382e-166,806,62,5.210917186505744e-165,True
officehome,C2A,tip_adapter_source,2427,56.36588380716935,79.68685620107128,23.32097291946411,21.46683120727539,25.298723220825195,0.0,8.767707520681553e-120,626,60,6.137395264477087e-119,True
officehome,C2P,tip_adapter_source,4439,67.22234737553504,87.92520838026583,20.70286124944687,19.351205825805664,22.03199005126953,0.0,1.9253462971982834e-189,1025,106,2.1178809269181118e-188,True
officehome,C2R,tip_adapter_source,4357,65.27427128758319,88.96029378012393,23.68602305650711,22.331880569458008,25.063689899444572,0.0,1.0417473288093783e-244,1094,62,1.250096794571254e-243,True
officehome,P2A,tip_adapter_source,2427,65.96621343222084,78.90399670374948,12.93778270483017,11.289657592773438,14.668313980102539,0.0,6.66816366010866e-52,390,76,1.333632732021732e-51,True
officehome,P2C,tip_adapter_source,4365,52.9667812142039,67.90378006872852,14.93699848651886,13.539518356323242,16.3344783782959,0.0,1.0642694292425758e-96,850,198,5.321347146212879e-96,True
officehome,P2R,tip_adapter_source,4357,75.30410833142071,89.18980950195088,13.885700702667236,12.784025192260742,15.056231498718262,0.0,4.158469302197564e-121,684,79,3.326775441758051e-120,True
officehome,R2A,tip_adapter_source,2427,70.7457766790276,79.48084054388134,8.735063672065735,7.375360488891602,10.177173614501953,0.0,1.31498324299757e-33,271,59,1.31498324299757e-33,True
officehome,R2C,tip_adapter_source,4365,56.40320733104238,67.0103092783505,10.607101768255234,9.438716888427734,11.775486946105957,0.0,6.806859332886899e-70,600,137,2.0420577998660696e-69,True
officehome,R2P,tip_adapter_source,4439,77.4724036945258,88.28564992115341,10.813245922327042,9.731921195983887,11.87204360961914,0.0,4.479594900528211e-91,556,76,1.7918379602112844e-90,True
