benchmark,task,method,noise_rate,repetition,corrupted_selected_labels,classes_with_target_support,mean_cosine_to_oracle_target_prototype,target_labels_used_only_for_noise_control_and_posthoc_diagnostics,accuracy,balanced_accuracy
office31,D2W,source_anchored,0.1,1,64,31,0.9809888601303101,True,86.28930817610063,85.26406592834496
office31,D2W,without_source_fusion,0.1,1,64,31,0.9809888601303101,True,83.8993710691824,82.94563360836337
office31,D2W,source_anchored,0.1,2,64,31,0.9830321669578552,True,86.16352201257862,85.10764401802922
office31,D2W,without_source_fusion,0.1,2,64,31,0.9830321669578552,True,83.77358490566039,82.83042623509148
office31,D2W,source_anchored,0.1,3,64,31,0.9854615926742554,True,86.0377358490566,84.95403418700002
office31,D2W,without_source_fusion,0.1,3,64,31,0.9854615926742554,True,83.8993710691824,82.94563360836337
office31,D2W,source_anchored,0.1,4,64,31,0.9820961952209473,True,85.53459119496856,84.33819840987393
office31,D2W,without_source_fusion,0.1,4,64,31,0.9820961952209473,True,83.64779874213836,82.71095192206877
office31,D2W,source_anchored,0.2,0,128,31,0.9796693921089172,True,85.53459119496856,84.36508013030404
office31,D2W,without_source_fusion,0.2,0,128,31,0.9796693921089172,True,83.64779874213836,82.78434328578271
office31,D2W,source_anchored,0.2,1,128,31,0.977637767791748,True,86.0377358490566,84.86328391465973
office31,D2W,without_source_fusion,0.2,1,128,31,0.977637767791748,True,83.64779874213836,82.71095192206877
office31,D2W,source_anchored,0.2,2,128,31,0.976463258266449,True,85.78616352201259,84.5859777460123
office31,D2W,without_source_fusion,0.2,2,128,31,0.976463258266449,True,83.64779874213836,82.71095192206877
office31,D2W,source_anchored,0.2,3,128,31,0.9818012118339539,True,85.9119496855346,84.87338902570968
office31,D2W,without_source_fusion,0.2,3,128,31,0.9818012118339539,True,83.8993710691824,82.94563360836337
office31,D2W,source_anchored,0.2,4,128,31,0.9816809892654419,True,85.9119496855346,84.90611459840723
office31,D2W,without_source_fusion,0.2,4,128,31,0.9816809892654419,True,83.8993710691824,82.94563360836337
office31,D2W,source_anchored,0.3,0,192,31,0.9768533110618591,True,85.53459119496856,84.5508083805484
office31,D2W,without_source_fusion,0.3,0,192,31,0.9768533110618591,True,83.64779874213836,82.69175069319013
office31,D2W,source_anchored,0.3,1,192,31,0.980177104473114,True,85.9119496855346,84.72038634816283
office31,D2W,without_source_fusion,0.3,1,192,31,0.980177104473114,True,83.77358490566039,82.81122500621282
office31,D2W,source_anchored,0.3,2,192,31,0.9770016670227051,True,85.40880503144655,84.44328149882799
office31,D2W,without_source_fusion,0.3,2,192,31,0.9770016670227051,True,83.8993710691824,83.00537076487473
office31,D2W,source_anchored,0.3,3,192,31,0.9761871695518494,True,85.78616352201259,84.76586214398927
office31,D2W,without_source_fusion,0.3,3,192,31,0.9761871695518494,True,83.77358490566039,82.83042623509148
office31,D2W,source_anchored,0.3,4,192,31,0.9752179384231567,True,85.9119496855346,84.87923287797713
office31,D2W,without_source_fusion,0.3,4,192,31,0.9752179384231567,True,83.64779874213836,82.69601763294094
office31,D2W,source_anchored,0.4,0,256,31,0.9710672497749329,True,85.66037735849056,84.65833526226884
office31,D2W,without_source_fusion,0.4,0,256,31,0.9710672497749329,True,83.77358490566039,82.82615929534067
office31,D2W,source_anchored,0.4,1,256,31,0.9687097668647766,True,85.53459119496856,84.39780570300155
office31,D2W,without_source_fusion,0.4,1,256,31,0.9687097668647766,True,83.64779874213836,82.57173331510822
office31,D2W,source_anchored,0.4,2,256,31,0.9664240479469299,True,85.78616352201259,84.7985877166868
office31,D2W,without_source_fusion,0.4,2,256,31,0.9664240479469299,True,83.77358490566039,82.81122500621282
office31,D2W,source_anchored,0.4,3,256,31,0.9720098376274109,True,85.78616352201259,84.61285946644242
office31,D2W,without_source_fusion,0.4,3,256,31,0.9720098376274109,True,83.77358490566039,82.86498844707305
office31,D2W,source_anchored,0.4,4,256,31,0.9704282879829407,True,85.66037735849056,84.69106083496636
office31,D2W,without_source_fusion,0.4,4,256,31,0.9704282879829407,True,83.39622641509435,82.53046037060948
office31,D2W,source_anchored,0.5,0,320,31,0.95904141664505,True,85.53459119496856,84.39780570300155
office31,D2W,without_source_fusion,0.5,0,320,31,0.95904141664505,True,83.64779874213836,82.73057984492249
office31,D2W,source_anchored,0.5,1,320,31,0.9612416625022888,True,85.40880503144655,84.29027882128113
office31,D2W,without_source_fusion,0.5,1,320,31,0.9612416625022888,True,83.8993710691824,82.94563360836337
office31,D2W,source_anchored,0.5,2,320,31,0.9613704681396484,True,85.78616352201259,84.61285946644242
office31,D2W,without_source_fusion,0.5,2,320,31,0.9613704681396484,True,83.39622641509435,82.53046037060948
office31,D2W,source_anchored,0.5,3,320,31,0.9579729437828064,True,85.40880503144655,84.29027882128113
office31,D2W,without_source_fusion,0.5,3,320,31,0.9579729437828064,True,83.39622641509435,82.50357865017936
office31,D2W,source_anchored,0.5,4,320,31,0.9626998901367188,True,85.53459119496856,84.58353395324593
office31,D2W,without_source_fusion,0.5,4,320,31,0.9626998901367188,True,83.52201257861635,82.6153724716506
office31,W2A,source_anchored,0.0,0,0,31,0.9907262921333313,True,81.2566560170394,80.87576652882686
office31,W2A,without_source_fusion,0.0,0,0,31,0.9907262921333313,True,81.18565850195243,80.80647839315489
office31,W2A,source_anchored,0.0,1,0,31,0.9907262921333313,True,81.2566560170394,80.87576652882686
office31,W2A,without_source_fusion,0.0,1,0,31,0.9907262921333313,True,81.18565850195243,80.80647839315489
office31,W2A,source_anchored,0.0,2,0,31,0.9907262921333313,True,81.2566560170394,80.87576652882686
office31,W2A,without_source_fusion,0.0,2,0,31,0.9907262921333313,True,81.18565850195243,80.80647839315489
office31,W2A,source_anchored,0.0,3,0,31,0.9907262921333313,True,81.2566560170394,80.87576652882686
office31,W2A,without_source_fusion,0.0,3,0,31,0.9907262921333313,True,81.18565850195243,80.80647839315489
office31,W2A,source_anchored,0.0,4,0,31,0.9907262921333313,True,81.2566560170394,80.87576652882686
office31,W2A,without_source_fusion,0.0,4,0,31,0.9907262921333313,True,81.18565850195243,80.80647839315489
office31,W2A,source_anchored,0.1,0,222,31,0.9929175972938538,True,81.18565850195243,80.80820852090382
office31,W2A,without_source_fusion,0.1,0,222,31,0.9929175972938538,True,81.07916222932198,80.70611997021582
office31,W2A,source_anchored,0.1,1,222,31,0.9927986860275269,True,81.22115725949591,80.84216437828923
office31,W2A,without_source_fusion,0.1,1,222,31,0.9927986860275269,True,81.11466098686546,80.74096459202418
office31,W2A,source_anchored,0.1,2,222,31,0.9931065440177917,True,81.18565850195243,80.80820852090382
office31,W2A,without_source_fusion,0.1,2,222,31,0.9931065440177917,True,81.11466098686546,80.74130393627537
office31,W2A,source_anchored,0.1,3,222,31,0.9933444261550903,True,81.18565850195243,80.80820852090382
office31,W2A,without_source_fusion,0.1,3,222,31,0.9933444261550903,True,81.15015974440894,80.7752180007372
office31,W2A,source_anchored,0.1,4,222,31,0.9932325482368469,True,81.18565850195243,80.80820852090382
office31,W2A,without_source_fusion,0.1,4,222,31,0.9932325482368469,True,81.11466098686546,80.74230160837381
office31,W2A,source_anchored,0.2,0,443,31,0.9919866919517517,True,81.18565850195243,80.8088668487511
office31,W2A,without_source_fusion,0.2,0,443,31,0.9919866919517517,True,81.07916222932198,80.70611997021584
office31,W2A,source_anchored,0.2,1,443,31,0.9918784499168396,True,81.15015974440894,80.77236622699702
office31,W2A,without_source_fusion,0.2,1,443,31,0.9918784499168396,True,81.04366347177849,80.67286423360126
office31,W2A,source_anchored,0.2,2,443,31,0.9921685457229614,True,81.15015974440894,80.77696249108271
office31,W2A,without_source_fusion,0.2,2,443,31,0.9921685457229614,True,81.04366347177849,80.67510437697044
office31,W2A,source_anchored,0.2,3,443,31,0.9916260242462158,True,81.18565850195243,80.80820852090382
