benchmark,task,strategy,selected_count,selection_coverage,selected_pseudo_label_accuracy,classes_with_selected_samples,target_labels_used_only_for_posthoc_diagnostics,accuracy,balanced_accuracy
officehome,R2A,confidence_threshold,1686,0.6946847960444994,93.8908659549229,64,True,79.56324680675732,75.43221589316677
officehome,R2A,entropy_matched_coverage,1686,0.6946847960444994,92.6453143534994,64,True,79.52204367531932,75.40081871891246
officehome,R2A,class_balanced_entropy,1487,0.6126905644829007,84.80161398789508,65,True,79.52204367531932,75.62224337201413
officehome,R2A,reliability_weighted,1686,0.6946847960444994,93.8908659549229,64,True,79.48084054388134,75.28909710719086
officehome,R2C,confidence_threshold,2373,0.5436426116838488,90.68689422671724,65,True,67.05612829324168,66.42212862661466
officehome,R2C,entropy_matched_coverage,2373,0.5436426116838488,89.29624947324062,65,True,67.10194730813286,66.4571238144153
officehome,R2C,class_balanced_entropy,2282,0.522794959908362,83.61086765994742,65,True,67.10194730813286,66.56481972118875
officehome,R2C,reliability_weighted,2373,0.5436426116838488,90.68689422671724,65,True,67.0103092783505,66.36983430640659
officehome,R2P,confidence_threshold,3744,0.8434332056769542,95.2991452991453,64,True,88.26312232484794,87.59310658147861
officehome,R2P,entropy_matched_coverage,3744,0.8434332056769542,95.21901709401709,65,True,88.26312232484794,87.61001615149596
officehome,R2P,class_balanced_entropy,3395,0.7648118945708493,93.04860088365243,65,True,88.30817751745889,87.63493676315713
officehome,R2P,reliability_weighted,3744,0.8434332056769542,95.2991452991453,64,True,88.28564992115341,87.62384824125252
